1000,2048,0.2,,,,
2000,2048,1.1,,,,
3000,2048,3.2,,,,
4000,2048,5.7,,,,
5000,2048,8.4,,,,
6000,2048,15.1,4096,0.1,,
7000,2048,19.7,,,,
8000,2048,23.7,4096,0.2,,
9000,2048,28.4,4096,0.3,,
10000,2048,30.3,4096,0.8,,
11000,2048,32.8,4096,1.5,,
12000,2048,33,4096,1.6,,
13000,2048,36.6,4096,1.9,,
14000,2048,37.4,4096,2,,
15000,2048,39.5,4096,2.3,,
16000,2048,40.6,4096,3.5,,
17000,2048,43.7,4096,3.2,,
18000,2048,44.7,4096,4.4,,
19000,2048,44.8,4096,5.7,,
20000,2048,45,4096,4.6,,
21000,2048,48.5,4096,6.3,,
22000,2048,46.3,4096,8,,
23000,2048,47.1,4096,10.3,,
24000,2048,47.4,4096,10.9,,
25000,2048,49.1,4096,12,,
26000,2048,51.2,4096,11.9,,
27000,2048,49.8,4096,13.6,8192,0.1
28000,2048,49.1,4096,14.3,,
29000,2048,49.7,4096,15.8,,
30000,2048,51.6,4096,15.3,,
31000,2048,49.9,4096,18.5,,
32000,2048,50.9,4096,19.1,8192,0.2
33000,2048,50.1,4096,19.8,8192,0.1
34000,2048,52.1,4096,20.7,,
35000,2048,49.7,4096,21.7,,
36000,2048,49.4,4096,22.6,8192,0.1
37000,2048,50.9,4096,23.5,8192,0.4
38000,2048,48.9,4096,24,8192,0.1
39000,2048,46.8,4096,26.9,8192,0.4
40000,2048,46.8,4096,26.7,8192,0.4
41000,2048,48.5,4096,26.9,8192,0.5
42000,2048,45.5,4096,27.7,8192,0.4
43000,2048,46.6,4096,28.9,8192,0.2
44000,2048,45.3,4096,29.5,8192,0.7
45000,2048,43.2,4096,31.4,8192,0.5
46000,2048,44.2,4096,30.4,8192,0.4
47000,2048,42.8,4096,32.5,8192,0.7
48000,2048,43.9,4096,32.4,8192,0.4
49000,2048,42.8,4096,34.9,8192,0.3
50000,2048,40.9,4096,33.4,8192,0.8
51000,2048,41.7,4096,35.1,8192,0.6
52000,2048,40.3,4096,36.4,8192,1
53000,2048,40.7,4096,36.8,8192,1
54000,2048,37.6,4096,39,8192,0.7
55000,2048,42.7,4096,38.2,8192,0.8
56000,2048,38.1,4096,38.8,8192,1.1
57000,2048,38.1,4096,40.2,8192,1.1
58000,2048,36.1,4096,39.6,8192,0.3
59000,2048,37.9,4096,40.6,8192,0.8
60000,2048,34.6,4096,44,8192,1.2
61000,2048,35,4096,46.8,8192,1.1
62000,2048,34.9,4096,43.8,8192,1.4
63000,2048,33.7,4096,43,8192,0.9
64000,2048,34.1,4096,46.8,8192,0.9
65000,2048,33.7,4096,46.2,8192,1.1
66000,2048,35.9,4096,45.1,8192,1
67000,2048,37.4,4096,43.5,8192,1.6
68000,2048,34.5,4096,45,8192,1.3
69000,2048,33,4096,46.1,8192,1.9
70000,2048,32.8,4096,46.2,8192,1.4
71000,2048,33.5,4096,47.7,8192,1.3
72000,2048,32,4096,49.2,8192,1.2
73000,2048,33.2,4096,46.4,8192,2.9
74000,2048,31.1,4096,49.6,8192,1.2
75000,2048,31.5,4096,48,8192,1.8
76000,2048,30.2,4096,52.2,8192,1.7
77000,2048,32,4096,50.1,8192,2.7
78000,2048,32.6,4096,48.7,8192,1.9
79000,2048,31.6,4096,50.6,8192,1.9
80000,2048,31.5,4096,50.1,8192,2.1
81000,2048,32.2,4096,50.2,8192,1.8
82000,2048,29.7,4096,51.5,8192,2.5
83000,2048,30.3,4096,51.5,8192,2.1
84000,2048,30.1,4096,51.7,8192,2.6
85000,2048,31.1,4096,49.7,8192,2.8
86000,2048,30.4,4096,49.1,8192,2.2
87000,2048,31.9,4096,50.9,8192,1.9
88000,2048,29.9,4096,51.9,8192,2.4
89000,2048,28,4096,52.7,8192,2.6
90000,2048,27,4096,52.4,8192,2
91000,2048,29,4096,52.1,8192,3
92000,2048,31,4096,49.7,8192,3.4
93000,2048,30.1,4096,52.7,8192,3.4
94000,2048,28.8,4096,51.7,8192,2.3
95000,2048,29.5,4096,51.3,8192,2.9
96000,2048,28,4096,51.9,8192,3.3
97000,2048,28.4,4096,52.1,8192,3.1
98000,2048,28.1,4096,52,8192,4.3
99000,2048,29.6,4096,52.7,8192,2.8
100000,2048,29.1,4096,53.6,8192,3.7
